KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KODRSO
"CS","OKRES_LAU",109,"CZ0326","Rokycany","Rokycany","01.01.2008","09.09.9999",40401
"CS","OKRES_LAU",109,"CZ0327","Tachov","Tachov","01.01.2008","09.09.9999",40410
"CS","OKRES_LAU",109,"CZ0411","Cheb","Cheb","01.01.2008","09.09.9999",40428
"CS","OKRES_LAU",109,"CZ0412","Karlovy Vary","Karlovy Vary","01.01.2008","09.09.9999",40436
"CS","OKRES_LAU",109,"CZ0413","Sokolov","Sokolov","01.01.2008","09.09.9999",40444
"CS","OKRES_LAU",109,"CZ0421","Děčín","Děčín","01.01.2008","09.09.9999",40452
"CS","OKRES_LAU",109,"CZ0422","Chomutov","Chomutov","01.01.2008","09.09.9999",40461
"CS","OKRES_LAU",109,"CZ0423","Litoměřice","Litoměřice","01.01.2008","09.09.9999",40479
"CS","OKRES_LAU",109,"CZ0424","Louny","Louny","01.01.2008","09.09.9999",40487
"CS","OKRES_LAU",109,"CZ0425","Most","Most","01.01.2008","09.09.9999",40495
"CS","OKRES_LAU",109,"CZ0426","Teplice","Teplice","01.01.2008","09.09.9999",40509
"CS","OKRES_LAU",109,"CZ0427","Ústí nad Labem","Ústí nad Labem","01.01.2008","09.09.9999",40517
"CS","OKRES_LAU",109,"CZ0511","Česká Lípa","Česká Lípa","01.01.2008","09.09.9999",40525
"CS","OKRES_LAU",109,"CZ0512","Jablonec nad Nisou","Jablonec nad Nisou","01.01.2008","09.09.9999",40533
"CS","OKRES_LAU",109,"CZ0513","Liberec","Liberec","01.01.2008","09.09.9999",40541
"CS","OKRES_LAU",109,"CZ0514","Semily","Semily","01.01.2008","09.09.9999",40550
"CS","OKRES_LAU",109,"CZ0521","Hradec Králové","Hradec Králové","01.01.2008","09.09.9999",40568
"CS","OKRES_LAU",109,"CZ0522","Jičín","Jičín","01.01.2008","09.09.9999",40576
"CS","OKRES_LAU",109,"CZ0523","Náchod","Náchod","01.01.2008","09.09.9999",40584
"CS","OKRES_LAU",109,"CZ0524","Rychnov nad Kněžnou","Rychnov nad Kněžnou","01.01.2008","09.09.9999",40592
"CS","OKRES_LAU",109,"CZ0525","Trutnov","Trutnov","01.01.2008","09.09.9999",40606
"CS","OKRES_LAU",109,"CZ0531","Chrudim","Chrudim","01.01.2008","09.09.9999",40614
"CS","OKRES_LAU",109,"CZ0532","Pardubice","Pardubice","01.01.2008","09.09.9999",40622
"CS","OKRES_LAU",109,"CZ0533","Svitavy","Svitavy","01.01.2008","09.09.9999",40631
"CS","OKRES_LAU",109,"CZ0534","Ústí nad Orlicí","Ústí nad Orlicí","01.01.2008","09.09.9999",40649
"CS","OKRES_LAU",109,"CZ0631","Havlíčkův Brod","Havlíčkův Brod","01.01.2008","09.09.9999",40657
"CS","OKRES_LAU",109,"CZ0632","Jihlava","Jihlava","01.01.2008","09.09.9999",40665
"CS","OKRES_LAU",109,"CZ0633","Pelhřimov","Pelhřimov","01.01.2008","09.09.9999",40673
"CS","OKRES_LAU",109,"CZ0634","Třebíč","Třebíč","01.01.2008","09.09.9999",40681
"CS","OKRES_LAU",109,"CZ0635","Žďár nad Sázavou","Žďár nad Sázavou","01.01.2008","09.09.9999",40690
"CS","OKRES_LAU",109,"CZ0641","Blansko","Blansko","01.01.2008","09.09.9999",40703
"CS","OKRES_LAU",109,"CZ0642","Brno-město","Brno-město","01.01.2008","09.09.9999",40711
"CS","OKRES_LAU",109,"CZ0643","Brno-venkov","Brno-venkov","01.01.2008","09.09.9999",40720
"CS","OKRES_LAU",109,"CZ0644","Břeclav","Břeclav","01.01.2008","09.09.9999",40738
"CS","OKRES_LAU",109,"CZ0645","Hodonín","Hodonín","01.01.2008","09.09.9999",40746
