KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
"CS","INTERVAL",7700,"431957431957000","<1 957; 1 957>","1 957","01.01.1900","09.09.9999",,,1957,1957,
"CS","INTERVAL",7700,"431958431958000","<1 958; 1 958>","1 958","01.01.1900","09.09.9999",,,1958,1958,
"CS","INTERVAL",7700,"431959431959000","<1 959; 1 959>","1 959","01.01.1900","09.09.9999",,,1959,1959,
"CS","INTERVAL",7700,"431960431960000","<1 960; 1 960>","1 960","01.01.1900","09.09.9999",,,1960,1960,
"CS","INTERVAL",7700,"431960431969000","<1 960; 1 969>","1 960 až 1 969 (více nebo rovno 1 960 a méně nebo rovno 1 969)","01.01.1900","09.09.9999",,,1960,1969,
"CS","INTERVAL",7700,"431961431961000","<1 961; 1 961>","1 961","01.01.1900","09.09.9999",,,1961,1961,
"CS","INTERVAL",7700,"431961431970000","<1 961; 1 970>","1 961 až 1 970 (více nebo rovno 1 961 a méně nebo rovno 1 970)","01.01.1900","09.09.9999",,,1961,1970,
"CS","INTERVAL",7700,"431961431980000","<1 961; 1 980>","1 961 až 1 980 (více nebo rovno 1 961 a méně nebo rovno 1 980)","01.01.1900","09.09.9999",,,1961,1980,
"CS","INTERVAL",7700,"431962431962000","<1 962; 1 962>","1 962","01.01.1900","09.09.9999",,,1962,1962,
"CS","INTERVAL",7700,"431963431963000","<1 963; 1 963>","1 963","01.01.1900","09.09.9999",,,1963,1963,
"CS","INTERVAL",7700,"431964431964000","<1 964; 1 964>","1 964","01.01.1900","09.09.9999",,,1964,1964,
"CS","INTERVAL",7700,"431965431965000","<1 965; 1 965>","1 965","01.01.1900","09.09.9999",,,1965,1965,
"CS","INTERVAL",7700,"431966431966000","<1 966; 1 966>","1 966","01.01.1900","09.09.9999",,,1966,1966,
"CS","INTERVAL",7700,"431967431967000","<1 967; 1 967>","1 967","01.01.1900","09.09.9999",,,1967,1967,
"CS","INTERVAL",7700,"431968431968000","<1 968; 1 968>","1 968","01.01.1900","09.09.9999",,,1968,1968,
"CS","INTERVAL",7700,"431969431969000","<1 969; 1 969>","1 969","01.01.1900","09.09.9999",,,1969,1969,
"CS","INTERVAL",7700,"431970431970000","<1 970; 1 970>","1 970","01.01.1900","09.09.9999",,,1970,1970,
"CS","INTERVAL",7700,"431970431979000","<1 970; 1 979>","1 970 až 1 979 (více nebo rovno 1 970 a méně nebo rovno 1 979)","01.01.1900","09.09.9999",,,1970,1979,
"CS","INTERVAL",7700,"431971431971000","<1 971; 1 971>","1 971","01.01.1900","09.09.9999",,,1971,1971,
"CS","INTERVAL",7700,"431971431980000","<1 971; 1 980>","1 971 až 1 980 (více nebo rovno 1 971 a méně nebo rovno 1 980)","01.01.1900","09.09.9999",,,1971,1980,
"CS","INTERVAL",7700,"431971631981000","<1 971; 1 981)","1 971 až 1 981 (více nebo rovno 1 971 a méně než 1 981)","01.01.1900","09.09.9999",,1981,1971,,
"CS","INTERVAL",7700,"431972431972000","<1 972; 1 972>","1 972","01.01.1900","09.09.9999",,,1972,1972,
"CS","INTERVAL",7700,"431973431973000","<1 973; 1 973>","1 973","01.01.1900","09.09.9999",,,1973,1973,
"CS","INTERVAL",7700,"431974431974000","<1 974; 1 974>","1 974","01.01.1900","09.09.9999",,,1974,1974,
"CS","INTERVAL",7700,"431975431975000","<1 975; 1 975>","1 975","01.01.1900","09.09.9999",,,1975,1975,
"CS","INTERVAL",7700,"431976431976000","<1 976; 1 976>","1 976","01.01.1900","09.09.9999",,,1976,1976,
"CS","INTERVAL",7700,"431977431977000","<1 977; 1 977>","1 977","01.01.1900","09.09.9999",,,1977,1977,
"CS","INTERVAL",7700,"431978431978000","<1 978; 1 978>","1 978","01.01.1900","09.09.9999",,,1978,1978,
"CS","INTERVAL",7700,"431979431979000","<1 979; 1 979>","1 979","01.01.1900","09.09.9999",,,1979,1979,
"CS","INTERVAL",7700,"431980431980000","<1 980; 1 980>","1 980","01.01.1900","09.09.9999",,,1980,1980,
"CS","INTERVAL",7700,"431980431984000","<1 980; 1 984>","1 980 až 1 984 (více nebo rovno 1 980 a méně nebo rovno 1 984)","01.01.1900","09.09.9999",,,1980,1984,
"CS","INTERVAL",7700,"431980431989000","<1 980; 1 989>","1 980 až 1 989 (více nebo rovno 1 980 a méně nebo rovno 1 989)","01.01.1900","09.09.9999",,,1980,1989,
"CS","INTERVAL",7700,"431980631985000","<1 980; 1 985)","1 980 až 1 985 (více nebo rovno 1 980 a méně než 1 985)","01.01.1900","09.09.9999",,1985,1980,,
"CS","INTERVAL",7700,"431980632022000","<1 980; 2 022)","1 980 až 2 022 (více nebo rovno 1 980 a méně než 2 022)","01.01.1900","09.09.9999",,2022,1980,,
"CS","INTERVAL",7700,"431981431981000","<1 981; 1 981>","1 981","01.01.1900","09.09.9999",,,1981,1981,
"CS","INTERVAL",7700,"431981431990000","<1 981; 1 990>","1 981 až 1 990 (více nebo rovno 1 981 a méně nebo rovno 1 990)","01.01.1900","09.09.9999",,,1981,1990,
"CS","INTERVAL",7700,"431981631991000","<1 981; 1 991)","1 981 až 1 991 (více nebo rovno 1 981 a méně než 1 991)","01.01.1900","09.09.9999",,1991,1981,,
"CS","INTERVAL",7700,"431982431982000","<1 982; 1 982>","1 982","01.01.1900","09.09.9999",,,1982,1982,
"CS","INTERVAL",7700,"431983431983000","<1 983; 1 983>","1 983","01.01.1900","09.09.9999",,,1983,1983,
"CS","INTERVAL",7700,"431984431984000","<1 984; 1 984>","1 984","01.01.1900","09.09.9999",,,1984,1984,
"CS","INTERVAL",7700,"431985431985000","<1 985; 1 985>","1 985","01.01.1900","09.09.9999",,,1985,1985,
"CS","INTERVAL",7700,"431985431989000","<1 985; 1 989>","1 985 až 1 989 (více nebo rovno 1 985 a méně nebo rovno 1 989)","01.01.1900","09.09.9999",,,1985,1989,
"CS","INTERVAL",7700,"431985631990000","<1 985; 1 990)","1 985 až 1 990 (více nebo rovno 1 985 a méně než 1 990)","01.01.1900","09.09.9999",,1990,1985,,
"CS","INTERVAL",7700,"431986431986000","<1 986; 1 986>","1 986","01.01.1900","09.09.9999",,,1986,1986,
"CS","INTERVAL",7700,"431987431987000","<1 987; 1 987>","1 987","01.01.1900","09.09.9999",,,1987,1987,
"CS","INTERVAL",7700,"431988431988000","<1 988; 1 988>","1 988","01.01.1900","09.09.9999",,,1988,1988,
"CS","INTERVAL",7700,"431989431989000","<1 989; 1 989>","1 989","01.01.1900","09.09.9999",,,1989,1989,
"CS","INTERVAL",7700,"431990431990000","<1 990; 1 990>","1 990","01.01.1900","09.09.9999",,,1990,1990,
"CS","INTERVAL",7700,"431990431994000","<1 990; 1 994>","1 990 až 1 994 (více nebo rovno 1 990 a méně nebo rovno 1 994)","01.01.1900","09.09.9999",,,1990,1994,
"CS","INTERVAL",7700,"431990431999000","<1 990; 1 999>","1 990 až 1 999 (více nebo rovno 1 990 a méně nebo rovno 1 999)","01.01.1900","09.09.9999",,,1990,1999,
"CS","INTERVAL",7700,"431990631995000","<1 990; 1 995)","1 990 až 1 995 (více nebo rovno 1 990 a méně než 1 995)","01.01.1900","09.09.9999",,1995,1990,,
"CS","INTERVAL",7700,"431991431991000","<1 991; 1 991>","1 991","01.01.1900","09.09.9999",,,1991,1991,
"CS","INTERVAL",7700,"431991432000000","<1 991; 2 000>","1 991 až 2 000 (více nebo rovno 1 991 a méně nebo rovno 2 000)","01.01.1900","09.09.9999",,,1991,2000,
"CS","INTERVAL",7700,"431991632001000","<1 991; 2 001)","1 991 až 2 001 (více nebo rovno 1 991 a méně než 2 001)","01.01.1900","09.09.9999",,2001,1991,,
"CS","INTERVAL",7700,"431991799999000","<1 991; N)","Od 1 991 (více nebo rovno 1 991)","01.01.1900","09.09.9999",,99999999999999999999,1991,,
"CS","INTERVAL",7700,"431992431992000","<1 992; 1 992>","1 992","01.01.1900","09.09.9999",,,1992,1992,
"CS","INTERVAL",7700,"431993431993000","<1 993; 1 993>","1 993","01.01.1900","09.09.9999",,,1993,1993,
"CS","INTERVAL",7700,"431994431994000","<1 994; 1 994>","1 994","01.01.1900","09.09.9999",,,1994,1994,
"CS","INTERVAL",7700,"431995431995000","<1 995; 1 995>","1 995","01.01.1900","09.09.9999",,,1995,1995,
