count,kraj,vek
535,CZ041,70
937,CZ072,70
828,CZ053,71
870,CZ032,71
1747,CZ080,71
1229,CZ042,71
484,CZ041,71
1620,CZ010,71
1941,CZ020,71
957,CZ052,71
932,CZ031,71
792,CZ063,71
1504,CZ064,71
930,CZ071,71
844,CZ072,71
772,CZ051,71
1473,CZ010,72
1889,CZ020,72
769,CZ063,72
862,CZ032,72
806,CZ072,72
759,CZ053,72
910,CZ031,72
923,CZ071,72
685,CZ051,72
1771,CZ080,72
1339,CZ042,72
921,CZ052,72
446,CZ041,72
1432,CZ064,72
1892,CZ020,73
963,CZ052,73
810,CZ072,73
790,CZ051,73
1791,CZ080,73
1310,CZ042,73
908,CZ031,73
877,CZ071,73
810,CZ053,73
891,CZ032,73
722,CZ063,73
1434,CZ064,73
1510,CZ010,73
467,CZ041,73
825,CZ053,74
452,CZ041,74
956,CZ052,74
1599,CZ010,74
943,CZ071,74
1796,CZ020,74
755,CZ051,74
816,CZ072,74
830,CZ032,74
1254,CZ042,74
1608,CZ080,74
677,CZ063,74
1472,CZ064,74
958,CZ031,74
848,CZ052,75
1028,CZ042,75
1394,CZ064,75
1581,CZ020,75
767,CZ053,75
1474,CZ080,75
860,CZ031,75
1424,CZ010,75
731,CZ071,75
768,CZ072,75
713,CZ032,75
392,CZ041,75
597,CZ051,75
604,CZ063,75
660,CZ071,76
617,CZ053,76
1298,CZ010,76
1428,CZ020,76
539,CZ051,76
357,CZ041,76
1142,CZ064,76
648,CZ072,76
1340,CZ080,76
690,CZ031,76
692,CZ032,76
582,CZ063,76
823,CZ042,76
735,CZ052,76
672,CZ071,77
1369,CZ020,77
1384,CZ080,77
620,CZ053,77
367,CZ041,77
632,CZ072,77
1193,CZ064,77
696,CZ032,77
771,CZ052,77
492,CZ051,77
857,CZ042,77
547,CZ063,77
1288,CZ010,77
715,CZ031,77
637,CZ031,78
447,CZ051,78
587,CZ071,78
310,CZ041,78
563,CZ072,78
1095,CZ064,78
1311,CZ080,78
601,CZ032,78
577,CZ053,78
496,CZ063,78
1218,CZ020,78
1108,CZ010,78
713,CZ052,78
732,CZ042,78
591,CZ071,79
513,CZ053,79
499,CZ063,79
397,CZ051,79
273,CZ041,79
566,CZ052,79
1044,CZ064,79
513,CZ032,79
1297,CZ080,79
695,CZ042,79
578,CZ072,79
1056,CZ020,79
567,CZ031,79
938,CZ010,79
539,CZ072,80
931,CZ020,80
377,CZ051,80
272,CZ041,80
526,CZ071,80
1223,CZ080,80
496,CZ032,80
515,CZ053,80
940,CZ064,80
478,CZ063,80
611,CZ042,80
889,CZ010,80
563,CZ052,80
504,CZ031,80
837,CZ020,81
575,CZ042,81
635,CZ010,81
844,CZ064,81
380,CZ063,81
1086,CZ080,81
430,CZ053,81
274,CZ041,81
461,CZ032,81
457,CZ031,81
451,CZ072,81
438,CZ071,81
326,CZ051,81
541,CZ052,81
754,CZ020,82
285,CZ051,82
478,CZ042,82
355,CZ053,82
453,CZ052,82
558,CZ010,82
367,CZ032,82
379,CZ063,82
430,CZ071,82
745,CZ064,82
230,CZ041,82
897,CZ080,82
415,CZ031,82
472,CZ072,82
574,CZ010,83
367,CZ063,83
188,CZ041,83
342,CZ032,83
419,CZ042,83
409,CZ052,83
710,CZ080,83
372,CZ071,83
420,CZ072,83
709,CZ020,83
682,CZ064,83
340,CZ053,83
237,CZ051,83
369,CZ031,83
401,CZ052,84
357,CZ072,84
318,CZ053,84
702,CZ080,84
355,CZ031,84
336,CZ063,84
370,CZ042,84
220,CZ051,84
354,CZ032,84
339,CZ071,84
559,CZ010,84
654,CZ020,84
198,CZ041,84
549,CZ064,84
313,CZ063,85
374,CZ031,85
585,CZ064,85
371,CZ052,85
368,CZ042,85
178,CZ041,85
180,CZ051,85
317,CZ053,85
